都道府県,市区町村,医療機関名,郵便番号,所在地,電話番号,区分,類型
埼玉県,越谷市,越谷慶友整形外科リウマチ科,343-0032,越谷市袋山１３６１－８,048-977-0123,在支診,機能強化型(連携)イ
埼玉県,越谷市,しもかわクリニック,343-0032,越谷市袋山２０４８－１,048-970-7770,在支診,従来型
埼玉県,越谷市,さめしま整形外科,343-0808,越谷市赤山本町６番地７,048-969-1154,在支診,従来型
埼玉県,越谷市,医療法人社団 貴昌会 岡野クリニック,343-0808,越谷市赤山本町７－２,048-969-0223,在支診,機能強化型(連携)ア
埼玉県,越谷市,医療法人社団 翔風会 きたずみ内科クリニック,343-0807,越谷市赤山町２丁目２３５番地１ メディトピア赤山貸しビル１階 ,048-962-1517,在支診,従来型
千葉県,野田市,ライフワンホームクリニック,278-0051,野田市七光台３５１－３３ バディマンション１Ｆ,04-7179-5648,在支診,従来型
千葉県,野田市,アグリホームクリニック のだ,278-0011,野田市三ツ堀８１９－１,04-7168-0118,在支診,機能強化型(連携)ア
千葉県,野田市,医療法人社団福聚会 東葛飾病院,270-0215,野田市中戸１３,04-7196-1166,在支病,従来型
千葉県,野田市,医療法人社団真療会 野田病院,270-0237,野田市中里１５５４－１,04-7127-3200,在支病,従来型
千葉県,野田市,エミング野田クリニック,278-0005,野田市宮崎８１－６,04-7124-8600,在支診,従来型
千葉県,野田市,医療法人社団 淑幸会 尾崎台クリニック,270-0238,野田市尾崎台１４,04-7127-6677,在支診,従来型
千葉県,野田市,医療法人財団 東京勤労者医療会 野田南部診療所,278-0022,野田市山崎字宿里１７３７－２,04-7121-0171,在支診,機能強化型(連携)ア
千葉県,野田市,医療法人社団 真優会 やまかわ内科・神経内科クリニック,278-0029,野田市山崎新町２－１１,04-7197-3520,在支診,従来型
千葉県,野田市,さえぐさ医院,278-0022,野田市山崎１３８５－１,04-7193-8630,在支診,従来型
千葉県,野田市,医療法人社団桜愛会 さくらの里消化器内科クリニック,278-0048,野田市桜の里２－６－５,04-7136-7030,在支診,従来型
千葉県,野田市,昴在宅クリニック,278-0020,野田市梅郷７－１ プチフルーレ１０１,04-7197-1677,在支診,従来型
千葉県,野田市,医療法人社団 健福会 花井クリニック,278-0026,野田市花井２４９－５,04-7123-3900,在支診,従来型
千葉県,野田市,医療法人社団淑幸会 野田ライフケアセンタークリニック,278-0037,野田市野田字堀尻８４０,04-7123-6997,在支診,従来型
千葉県,野田市,あらい内科クリニック,278-0037,野田市野田１２２６,04-7122-5723,在支診,従来型
